"teryt" "area" "perimeter" "pop2001"
"2" 2 19811.959 1017.352 2970094
"4" 4 17953.512 852.43 2101654
"6" 6 24967.242 979.159 2227574
"8" 8 13897.891 796.102 1024499
"10" 10 18087.237 874.261 2632879
"12" 12 15094.854 824.362 3240928
"14" 14 35423.937 1455.794 5079006
"16" 16 9372.941 657.401 1080505
"18" 18 17752.153 848.519 2131368
"20" 20 19860.875 839.33 1219879
"22" 22 18187.755 913.339 2204375
"24" 24 12256.173 861.915 4830472
"26" 26 11671.402 670.448 1319611
"28" 28 24062.894 884.376 1469274
"30" 30 29810.466 1294.942 3366020
"32" 32 22622.055 867.074 1734315
